id,postal_code,latitude,longitude
599284,OX5 3HF,51.869885,-1.274546
599310,OX5 3JQ,51.880161,-1.252923
599473,OX5 1LQ,51.829586,-1.30574
599733,OX49 5ST,51.686335,-0.946892
599985,OX49 5EX,51.624971,-0.992786
600020,OX49 5LA,51.637697,-1.026231
601177,OX4 3RB,51.730365,-1.213795
601192,OX4 3SE,51.731198,-1.221426
601529,OX39 4QU,51.703238,-0.916081
601750,OX39 4AA,51.716684,-0.92818
601826,OX39 4AP,51.719731,-0.900277
603185,OX29 9TD,51.807442,-1.507412
603204,OX29 9UB,51.811714,-1.488595
603545,OX29 6XE,51.791562,-1.411181
603756,OX29 4SX,51.79946,-1.329982
603839,OX29 5SU,51.723062,-1.394162
604192,OX28 6RB,51.785821,-1.484858
604194,OX28 6RE,51.783366,-1.48477
604841,OX27 7SP,51.971475,-1.179289
604982,OX27 8SS,51.962824,-1.161023
605127,OX27 0AN,51.894445,-1.041657
605136,OX27 0BL,51.914054,-1.025049
605434,OX26 4LD,51.903243,-1.1314
605590,OX26 6AA,51.896914,-1.149897
606264,OX25 2NF,51.855671,-1.16229
606417,OX25 4RS,51.927411,-1.30765
606623,OX25 1TE,51.869342,-1.099625
607233,OX2 7DY,51.777778,-1.264613
607356,OX2 6JA,51.764712,-1.266799
607752,OX18 4DY,51.806687,-1.594689
607841,OX18 4JW,51.76972,-1.658075
607849,OX18 4LS,51.807721,-1.638787
607906,OX18 4SL,51.805976,-1.63255
608279,OX18 2SU,51.706024,-1.588527
608578,OX17 3PP,52.022702,-1.268434
608604,OX18 2EG,51.723286,-1.491691
608641,OX17 3RR,52.022471,-1.279062
608925,OX17 1QU,52.105364,-1.336917
608964,OX17 1TD,52.156991,-1.330261
608992,OX17 2AX,52.117148,-1.207681
609076,OX17 2HW,52.109895,-1.216616
609194,OX17 1EL,52.143904,-1.359288
609246,OX17 1JJ,52.118609,-1.402065
609455,OX16 9SA,52.058899,-1.343294
609667,OX16 9BE,52.052572,-1.334038
610301,OX16 2EH,52.065206,-1.340882
610651,OX15 5RQ,52.037614,-1.479244
610762,OX15 6BW,52.106363,-1.428261
610952,OX15 5EU,52.034767,-1.454058
611147,OX15 4JP,51.988501,-1.422248
611150,OX15 4JS,51.990935,-1.432556
611163,OX15 4LH,52.002334,-1.428522
611352,OX15 0QT,51.982899,-1.352792
611736,OX14 4RY,51.621233,-1.293972
612154,OX14 3LH,51.671567,-1.282128
612293,OX14 2HP,51.688331,-1.258873
612457,OX14 1LT,51.684671,-1.286446
612566,OX14 1SY,51.67332,-1.302315
612689,OX13 6SB,51.624584,-1.314722
612728,OX13 5HR,51.670446,-1.429625
612829,OX13 5LR,51.686755,-1.389929
612853,OX13 5PB,51.663075,-1.382543
613084,OX12 9YF,51.598195,-1.431081
613384,OX12 9NJ,51.529449,-1.435223
613445,OX12 8JY,51.595819,-1.336406
